,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,4:50 AM,81ʡF,75ʡF,84ʡ%,S,5ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
1,5:42 AM,81ʡF,77ʡF,89ʡ%,CALM,0ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy
2,7:18 AM,82ʡF,77ʡF,84ʡ%,S,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
3,7:40 AM,84ʡF,77ʡF,79ʡ%,S,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
4,8:47 AM,86ʡF,75ʡF,70ʡ%,N,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
5,9:40 AM,90ʡF,75ʡF,62ʡ%,WNW,8ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy
6,10:42 AM,91ʡF,75ʡF,59ʡ%,NNW,6ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy
7,11:41 AM,91ʡF,75ʡF,59ʡ%,W,7ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy
8,12:40 PM,93ʡF,75ʡF,56ʡ%,N,7ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Mostly Cloudy
9,1:41 PM,93ʡF,77ʡF,59ʡ%,WNW,5ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Mostly Cloudy
10,2:41 PM,91ʡF,79ʡF,66ʡ%,W,9ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Mostly Cloudy
11,3:45 PM,93ʡF,79ʡF,63ʡ%,WNW,6ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy
12,4:41 PM,91ʡF,81ʡF,71ʡ%,W,9ʡmph,21ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy
13,5:47 PM,88ʡF,73ʡF,62ʡ%,WNW,12ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Mostly Cloudy
14,6:42 PM,84ʡF,82ʡF,94ʡ%,WSW,3ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Mostly Cloudy
15,7:50 PM,84ʡF,81ʡF,89ʡ%,SW,6ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Partly Cloudy
16,8:45 PM,84ʡF,81ʡF,89ʡ%,CALM,0ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Partly Cloudy
17,9:40 PM,84ʡF,79ʡF,84ʡ%,SSW,6ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
