,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:46 PM,61ʡF,57ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,25.04ʡin,0.0ʡin,Mostly Cloudy
1,12:53 AM,61ʡF,57ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,25.04ʡin,0.0ʡin,Mostly Cloudy
2,1:40 AM,63ʡF,59ʡF,88ʡ%,N,5ʡmph,0ʡmph,25.04ʡin,0.0ʡin,Mostly Cloudy
3,2:45 AM,63ʡF,57ʡF,82ʡ%,NNE,7ʡmph,0ʡmph,25.03ʡin,0.0ʡin,Cloudy
4,3:41 AM,61ʡF,57ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,25.02ʡin,0.0ʡin,Cloudy
5,4:49 AM,59ʡF,37ʡF,45ʡ%,CALM,0ʡmph,0ʡmph,25.03ʡin,0.0ʡin,Partly Cloudy
6,5:56 AM,61ʡF,59ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,25.03ʡin,0.0ʡin,Partly Cloudy
7,6:46 AM,63ʡF,55ʡF,77ʡ%,CALM,0ʡmph,0ʡmph,25.04ʡin,0.0ʡin,Partly Cloudy
8,7:46 AM,63ʡF,55ʡF,77ʡ%,ENE,7ʡmph,0ʡmph,25.06ʡin,0.0ʡin,Mostly Cloudy
9,8:46 AM,64ʡF,55ʡF,73ʡ%,N,5ʡmph,0ʡmph,25.07ʡin,0.0ʡin,Mostly Cloudy
10,9:50 AM,68ʡF,54ʡF,60ʡ%,CALM,0ʡmph,0ʡmph,25.07ʡin,0.0ʡin,Mostly Cloudy
11,10:57 AM,70ʡF,55ʡF,60ʡ%,NNW,3ʡmph,0ʡmph,25.07ʡin,0.0ʡin,Mostly Cloudy
12,11:52 AM,70ʡF,55ʡF,60ʡ%,NNE,7ʡmph,0ʡmph,25.06ʡin,0.0ʡin,Mostly Cloudy
13,12:44 PM,73ʡF,55ʡF,53ʡ%,NE,8ʡmph,0ʡmph,25.03ʡin,0.0ʡin,Partly Cloudy
14,1:50 PM,75ʡF,57ʡF,53ʡ%,NE,5ʡmph,0ʡmph,25.00ʡin,0.0ʡin,Mostly Cloudy
15,2:40 PM,77ʡF,55ʡF,47ʡ%,NNE,5ʡmph,0ʡmph,24.99ʡin,0.0ʡin,Mostly Cloudy
16,3:44 PM,77ʡF,54ʡF,44ʡ%,CALM,0ʡmph,0ʡmph,24.98ʡin,0.0ʡin,Mostly Cloudy
17,4:44 PM,77ʡF,55ʡF,47ʡ%,W,5ʡmph,0ʡmph,24.96ʡin,0.0ʡin,Mostly Cloudy
18,5:42 PM,75ʡF,57ʡF,53ʡ%,S,3ʡmph,0ʡmph,24.98ʡin,0.0ʡin,Partly Cloudy
19,6:44 PM,70ʡF,57ʡF,64ʡ%,SSW,3ʡmph,0ʡmph,24.99ʡin,0.0ʡin,Mostly Cloudy
20,7:46 PM,70ʡF,59ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,25.00ʡin,0.0ʡin,Cloudy
21,8:47 PM,68ʡF,55ʡF,64ʡ%,SSW,7ʡmph,0ʡmph,25.02ʡin,0.0ʡin,Mostly Cloudy
22,9:43 PM,66ʡF,59ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,25.04ʡin,0.0ʡin,Mostly Cloudy
23,10:42 PM,64ʡF,57ʡF,77ʡ%,CALM,0ʡmph,0ʡmph,25.05ʡin,0.0ʡin,Partly Cloudy
