,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:42 AM,52ʡF,39ʡF,62ʡ%,E,6ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Partly Cloudy
1,1:44 AM,48ʡF,39ʡF,71ʡ%,ENE,8ʡmph,0ʡmph,23.16ʡin,0.0ʡin,Fair
2,2:47 AM,48ʡF,39ʡF,71ʡ%,ENE,7ʡmph,0ʡmph,23.15ʡin,0.0ʡin,Fair
3,3:50 AM,46ʡF,39ʡF,76ʡ%,E,8ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Fair
4,4:44 AM,45ʡF,39ʡF,81ʡ%,E,7ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Partly Cloudy
5,5:43 AM,45ʡF,39ʡF,81ʡ%,ENE,3ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Fair
6,6:40 AM,45ʡF,39ʡF,81ʡ%,E,6ʡmph,0ʡmph,23.15ʡin,0.0ʡin,Fair
7,7:42 AM,46ʡF,41ʡF,81ʡ%,ENE,7ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Fair
8,7:43 AM,46ʡF,41ʡF,81ʡ%,ENE,6ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Fair
9,8:46 AM,50ʡF,39ʡF,66ʡ%,E,6ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Fair
10,9:16 AM,54ʡF,39ʡF,58ʡ%,CALM,0ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Fair
11,9:49 AM,55ʡF,39ʡF,54ʡ%,CALM,0ʡmph,0ʡmph,23.18ʡin,0.0ʡin,Fair
12,10:11 AM,59ʡF,39ʡF,48ʡ%,CALM,0ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Partly Cloudy
13,10:45 AM,63ʡF,39ʡF,42ʡ%,CALM,0ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Partly Cloudy
14,10:50 AM,63ʡF,37ʡF,39ʡ%,W,3ʡmph,0ʡmph,23.17ʡin,0.0ʡin,Partly Cloudy
15,11:17 AM,66ʡF,37ʡF,35ʡ%,CALM,0ʡmph,0ʡmph,23.16ʡin,0.0ʡin,Fair
16,11:50 AM,68ʡF,37ʡF,33ʡ%,CALM,0ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Fair
17,12:49 PM,72ʡF,36ʡF,27ʡ%,WSW,7ʡmph,0ʡmph,23.10ʡin,0.0ʡin,Partly Cloudy
18,12:51 PM,72ʡF,36ʡF,27ʡ%,WNW,8ʡmph,0ʡmph,23.10ʡin,0.0ʡin,Partly Cloudy
19,1:45 PM,75ʡF,18ʡF,11ʡ%,NNE,14ʡmph,0ʡmph,23.07ʡin,0.0ʡin,Partly Cloudy
20,1:50 PM,75ʡF,19ʡF,12ʡ%,NE,14ʡmph,0ʡmph,23.07ʡin,0.0ʡin,Partly Cloudy
21,2:42 PM,75ʡF,23ʡF,14ʡ%,NNE,9ʡmph,0ʡmph,23.04ʡin,0.0ʡin,Partly Cloudy
22,3:17 PM,79ʡF,23ʡF,13ʡ%,NE,6ʡmph,0ʡmph,23.03ʡin,0.0ʡin,Fair
23,3:51 PM,79ʡF,21ʡF,12ʡ%,SE,3ʡmph,0ʡmph,23.02ʡin,0.0ʡin,Fair
24,4:42 PM,77ʡF,23ʡF,13ʡ%,E,6ʡmph,0ʡmph,23.02ʡin,0.0ʡin,Fair
25,5:48 PM,77ʡF,21ʡF,12ʡ%,N,8ʡmph,0ʡmph,23.02ʡin,0.0ʡin,Fair
26,6:25 PM,73ʡF,37ʡF,27ʡ%,E,12ʡmph,0ʡmph,23.04ʡin,0.0ʡin,Fair
27,6:45 PM,72ʡF,39ʡF,31ʡ%,ESE,12ʡmph,0ʡmph,23.04ʡin,0.0ʡin,Fair
28,7:51 PM,70ʡF,30ʡF,23ʡ%,N,8ʡmph,0ʡmph,23.07ʡin,0.0ʡin,Fair
29,8:52 PM,66ʡF,39ʡF,37ʡ%,N,5ʡmph,0ʡmph,23.11ʡin,0.0ʡin,Fair
30,9:45 PM,66ʡF,36ʡF,32ʡ%,NW,7ʡmph,0ʡmph,23.12ʡin,0.0ʡin,Fair
31,10:48 PM,64ʡF,32ʡF,30ʡ%,CALM,0ʡmph,0ʡmph,23.13ʡin,0.0ʡin,Fair
32,11:01 PM,61ʡF,37ʡF,42ʡ%,CALM,0ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Fair
33,11:45 PM,63ʡF,36ʡF,37ʡ%,NW,6ʡmph,0ʡmph,23.14ʡin,0.0ʡin,Fair
