,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,5:15 AM,61ʡF,57ʡF,88ʡ%,NW,5ʡmph,0ʡmph,25.12ʡin,0.0ʡin,Mostly Cloudy
1,5:46 AM,61ʡF,55ʡF,82ʡ%,NNE,3ʡmph,0ʡmph,25.12ʡin,0.0ʡin,Mostly Cloudy
2,6:42 AM,61ʡF,55ʡF,82ʡ%,WNW,3ʡmph,0ʡmph,25.13ʡin,0.0ʡin,Mostly Cloudy
3,7:45 AM,64ʡF,57ʡF,77ʡ%,N,6ʡmph,0ʡmph,25.14ʡin,0.0ʡin,Mostly Cloudy
4,8:44 AM,66ʡF,55ʡF,68ʡ%,NNW,5ʡmph,0ʡmph,25.15ʡin,0.0ʡin,Mostly Cloudy
5,9:43 AM,70ʡF,55ʡF,60ʡ%,SSW,3ʡmph,0ʡmph,25.14ʡin,0.0ʡin,Mostly Cloudy
6,10:42 AM,73ʡF,54ʡF,50ʡ%,E,3ʡmph,0ʡmph,25.13ʡin,0.0ʡin,Mostly Cloudy
7,11:45 AM,75ʡF,54ʡF,47ʡ%,SSW,5ʡmph,0ʡmph,25.13ʡin,0.0ʡin,Mostly Cloudy
8,12:44 PM,77ʡF,54ʡF,44ʡ%,S,5ʡmph,0ʡmph,25.10ʡin,0.0ʡin,Mostly Cloudy
9,1:51 PM,77ʡF,54ʡF,44ʡ%,CALM,0ʡmph,0ʡmph,25.08ʡin,0.0ʡin,Cloudy
10,2:42 PM,75ʡF,54ʡF,47ʡ%,NNW,9ʡmph,0ʡmph,25.08ʡin,0.0ʡin,Cloudy
11,3:40 PM,75ʡF,57ʡF,53ʡ%,NW,7ʡmph,0ʡmph,25.07ʡin,0.0ʡin,Cloudy
12,4:41 PM,72ʡF,55ʡF,57ʡ%,NW,6ʡmph,0ʡmph,25.07ʡin,0.0ʡin,Cloudy
13,5:53 PM,73ʡF,55ʡF,53ʡ%,W,6ʡmph,0ʡmph,25.08ʡin,0.0ʡin,Cloudy
14,6:45 PM,72ʡF,55ʡF,57ʡ%,N,2ʡmph,0ʡmph,25.08ʡin,0.0ʡin,Cloudy
15,7:46 PM,72ʡF,48ʡF,43ʡ%,ENE,3ʡmph,0ʡmph,25.10ʡin,0.0ʡin,Partly Cloudy
