,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,3:45 AM,41ʡF,36ʡF,81ʡ%,SSW,2ʡmph,0ʡmph,24.26ʡin,0.0ʡin,Fair
1,5:45 AM,43ʡF,36ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,24.28ʡin,0.0ʡin,Fair
2,6:45 AM,39ʡF,32ʡF,75ʡ%,NNW,2ʡmph,0ʡmph,24.29ʡin,0.0ʡin,Fair
3,7:45 AM,41ʡF,36ʡF,81ʡ%,E,2ʡmph,0ʡmph,24.30ʡin,0.0ʡin,Fair
4,8:45 AM,50ʡF,37ʡF,62ʡ%,CALM,0ʡmph,0ʡmph,24.31ʡin,0.0ʡin,Fair
5,9:45 AM,59ʡF,37ʡF,45ʡ%,ENE,5ʡmph,0ʡmph,24.32ʡin,0.0ʡin,Fair
6,11:50 AM,73ʡF,39ʡF,29ʡ%,W,14ʡmph,0ʡmph,24.29ʡin,0.0ʡin,Fair
7,12:48 PM,75ʡF,37ʡF,25ʡ%,WSW,7ʡmph,0ʡmph,24.25ʡin,0.0ʡin,Fair
8,1:47 PM,79ʡF,36ʡF,21ʡ%,WSW,12ʡmph,0ʡmph,24.21ʡin,0.0ʡin,Fair
9,2:45 PM,81ʡF,32ʡF,17ʡ%,W,17ʡmph,0ʡmph,24.19ʡin,0.0ʡin,Fair
10,3:45 PM,79ʡF,30ʡF,17ʡ%,W,12ʡmph,0ʡmph,24.18ʡin,0.0ʡin,Fair
11,4:45 PM,79ʡF,32ʡF,18ʡ%,W,15ʡmph,0ʡmph,24.18ʡin,0.0ʡin,Fair
12,5:45 PM,73ʡF,32ʡF,22ʡ%,W,9ʡmph,0ʡmph,24.19ʡin,0.0ʡin,Fair
13,6:45 PM,66ʡF,32ʡF,28ʡ%,WSW,6ʡmph,0ʡmph,24.21ʡin,0.0ʡin,Fair
14,7:45 PM,66ʡF,32ʡF,28ʡ%,CALM,0ʡmph,0ʡmph,24.21ʡin,0.0ʡin,Fair
15,8:45 PM,63ʡF,32ʡF,32ʡ%,N,6ʡmph,0ʡmph,24.23ʡin,0.0ʡin,Fair
16,9:45 PM,63ʡF,32ʡF,32ʡ%,NW,7ʡmph,0ʡmph,24.24ʡin,0.0ʡin,Fair
17,10:45 PM,57ʡF,32ʡF,38ʡ%,CALM,0ʡmph,0ʡmph,24.25ʡin,0.0ʡin,Fair
18,11:45 PM,52ʡF,32ʡF,47ʡ%,ESE,5ʡmph,0ʡmph,24.25ʡin,0.0ʡin,Fair
