Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:49 AM,55ʡF,52ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Light Rain
1:48 AM,55ʡF,52ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Cloudy
2:50 AM,55ʡF,52ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Mostly Cloudy
3:48 AM,54ʡF,52ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,22.13ʡin,0.0ʡin,Mostly Cloudy
4:50 AM,52ʡF,50ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Mostly Cloudy
5:52 AM,52ʡF,50ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mostly Cloudy
6:46 AM,54ʡF,50ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mostly Cloudy
7:46 AM,55ʡF,52ʡF,88ʡ%,WNW,5ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mostly Cloudy
8:46 AM,57ʡF,50ʡF,77ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mostly Cloudy
9:46 AM,63ʡF,52ʡF,68ʡ%,SW,3ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mostly Cloudy
10:48 AM,66ʡF,50ʡF,56ʡ%,E,6ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mostly Cloudy
11:48 AM,70ʡF,52ʡF,53ʡ%,SE,9ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mostly Cloudy
12:46 PM,68ʡF,48ʡF,49ʡ%,SE,3ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Mostly Cloudy
1:46 PM,72ʡF,52ʡF,50ʡ%,SE,9ʡmph,0ʡmph,22.12ʡin,0.0ʡin,Partly Cloudy
2:46 PM,68ʡF,52ʡF,56ʡ%,S,18ʡmph,0ʡmph,22.10ʡin,0.0ʡin,Partly Cloudy
3:46 PM,64ʡF,48ʡF,56ʡ%,S,18ʡmph,0ʡmph,22.10ʡin,0.0ʡin,Mostly Cloudy
4:46 PM,63ʡF,48ʡF,59ʡ%,S,10ʡmph,0ʡmph,22.09ʡin,0.0ʡin,Mostly Cloudy
5:46 PM,64ʡF,50ʡF,59ʡ%,E,10ʡmph,0ʡmph,22.11ʡin,0.0ʡin,Thunder
5:58 PM,55ʡF,50ʡF,82ʡ%,ENE,15ʡmph,0ʡmph,22.13ʡin,0.0ʡin,Light Rain with Thunder
6:49 PM,54ʡF,50ʡF,88ʡ%,ESE,10ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Light Rain with Thunder
7:52 PM,54ʡF,50ʡF,88ʡ%,ENE,7ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Cloudy
8:49 PM,54ʡF,50ʡF,88ʡ%,E,2ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mostly Cloudy
9:48 PM,55ʡF,50ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,22.19ʡin,0.0ʡin,Mostly Cloudy
10:48 PM,54ʡF,50ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mostly Cloudy
