,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:50 AM,55ʡF,55ʡF,100ʡ%,S,3ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mostly Cloudy
1,1:41 AM,55ʡF,54ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Partly Cloudy
2,2:43 AM,54ʡF,54ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Partly Cloudy
3,3:41 AM,54ʡF,54ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Partly Cloudy
4,4:41 AM,54ʡF,52ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Partly Cloudy
5,5:41 AM,52ʡF,52ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Mostly Cloudy
6,6:40 AM,50ʡF,50ʡF,100ʡ%,N,3ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mist
7,7:02 AM,50ʡF,50ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mist
8,7:32 AM,52ʡF,52ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mist
9,7:43 AM,54ʡF,54ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Mist
10,8:32 AM,59ʡF,54ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mist
11,8:48 AM,59ʡF,54ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mist
12,9:44 AM,63ʡF,52ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,22.19ʡin,0.0ʡin,Fair
13,10:43 AM,66ʡF,54ʡF,64ʡ%,NW,5ʡmph,0ʡmph,22.17ʡin,0.0ʡin,Fair
14,11:45 AM,68ʡF,54ʡF,60ʡ%,CALM,0ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mostly Cloudy
15,12:44 PM,70ʡF,54ʡF,56ʡ%,NW,5ʡmph,0ʡmph,22.13ʡin,0.0ʡin,Mostly Cloudy
16,1:42 PM,73ʡF,54ʡF,50ʡ%,NNE,2ʡmph,0ʡmph,22.12ʡin,0.0ʡin,Mostly Cloudy
17,2:45 PM,70ʡF,52ʡF,53ʡ%,NW,3ʡmph,0ʡmph,22.10ʡin,0.0ʡin,Mostly Cloudy
18,3:57 PM,72ʡF,46ʡF,41ʡ%,NE,6ʡmph,0ʡmph,22.08ʡin,0.0ʡin,Mostly Cloudy
19,4:45 PM,70ʡF,54ʡF,56ʡ%,S,7ʡmph,0ʡmph,22.08ʡin,0.0ʡin,Mostly Cloudy
20,5:53 PM,68ʡF,55ʡF,64ʡ%,S,12ʡmph,0ʡmph,22.08ʡin,0.0ʡin,Light Rain
21,6:13 PM,64ʡF,57ʡF,77ʡ%,S,7ʡmph,0ʡmph,22.10ʡin,0.0ʡin,Rain
22,6:25 PM,63ʡF,59ʡF,88ʡ%,SE,14ʡmph,0ʡmph,22.11ʡin,0.0ʡin,Rain
23,6:47 PM,61ʡF,57ʡF,88ʡ%,SSE,12ʡmph,0ʡmph,22.11ʡin,0.0ʡin,Cloudy
24,7:06 PM,55ʡF,54ʡF,94ʡ%,SE,21ʡmph,0ʡmph,22.13ʡin,0.0ʡin,T-Storm / Windy
25,7:38 PM,55ʡF,54ʡF,94ʡ%,S,15ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Light Rain
26,7:42 PM,57ʡF,54ʡF,88ʡ%,S,12ʡmph,0ʡmph,22.15ʡin,0.0ʡin,Light Rain
27,8:45 PM,57ʡF,54ʡF,88ʡ%,S,7ʡmph,0ʡmph,22.16ʡin,0.0ʡin,Mostly Cloudy
28,9:43 PM,55ʡF,55ʡF,100ʡ%,SE,7ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Mostly Cloudy
29,10:42 PM,54ʡF,54ʡF,100ʡ%,S,5ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Fair
30,11:45 PM,55ʡF,54ʡF,94ʡ%,SSW,3ʡmph,0ʡmph,22.18ʡin,0.0ʡin,Fair
